Payment_ID,Transaction_ID,Fine_Amount,Payment_Amount,Payment_Status,Payment_Date,Due_Date,Payment_Method,Created_At
PAY200052,T100052,0,0.0,No Fine,,,,2026-02-23 16:04:12
PAY200053,T100053,0,0.0,No Fine,,,,2025-12-29 15:33:32
PAY200054,T100054,0,0.0,No Fine,,,,2026-01-16 07:38:04
PAY200055,T100055,0,0.0,No Fine,,,,2025-12-18 02:17:09
PAY200056,T100056,0,0.0,No Fine,,,,2025-11-01 14:57:49
PAY200057,T100057,0,0.0,No Fine,,,,2026-02-13 00:03:50
PAY200058,T100058,0,0.0,No Fine,,,,2025-12-09 00:51:09
PAY200059,T100059,0,0.0,No Fine,,,,2026-02-08 04:10:26
PAY200060,T100060,0,0.0,No Fine,,,,2026-01-14 22:32:35
PAY200061,T100061,75,75.0,Paid,2025-12-11 17:23:03,2025-12-14 23:23:03,Online,2025-12-11 17:23:03
PAY200062,T100062,45,45.0,Paid,2026-01-09 01:28:58,2026-01-19 00:28:58,Card,2026-01-09 01:28:58
PAY200063,T100063,0,0.0,No Fine,,,,2025-12-02 11:58:16
PAY200064,T100064,60,60.0,Paid,2026-03-16 06:32:14,2026-03-26 07:32:14,Card,2026-03-16 06:32:14
PAY200065,T100065,0,0.0,No Fine,,,,2025-11-03 08:22:00
PAY200066,T100066,0,0.0,No Fine,,,,2025-11-12 10:15:43
PAY200067,T100067,75,75.0,Paid,2026-03-15 04:23:15,2026-03-17 01:23:15,Online,2026-03-15 04:23:15
PAY200068,T100068,85,0.0,Unpaid,,2025-12-20 13:20:07,,2025-11-20 13:22:07
PAY200069,T100069,55,55.0,Paid,2026-01-28 20:29:02,2026-02-17 00:29:02,Online,2026-01-28 20:29:02
PAY200070,T100070,0,0.0,No Fine,,,,2025-12-31 07:29:47
PAY200071,T100071,0,0.0,No Fine,,,,2026-01-25 09:31:08
PAY200072,T100072,55,36.57,Partial,2026-02-16 05:54:14,2026-03-10 19:54:14,Card,2026-02-16 05:54:14
PAY200073,T100073,75,75.0,Paid,2026-01-21 12:41:56,2026-02-12 08:41:56,Online,2026-01-21 12:41:56
PAY200074,T100074,0,0.0,No Fine,,,,2025-11-04 05:12:43
PAY200075,T100075,0,0.0,No Fine,,,,2025-12-23 18:22:37
PAY200076,T100076,0,0.0,No Fine,,,,2026-01-09 19:40:50
PAY200077,T100077,0,0.0,No Fine,,,,2026-01-09 08:10:30
PAY200078,T100078,0,0.0,No Fine,,,,2025-12-13 01:53:09
PAY200079,T100079,0,0.0,No Fine,,,,2026-01-03 11:55:48
PAY200080,T100080,0,0.0,No Fine,,,,2025-12-17 17:57:13
PAY200081,T100081,50,50.0,Paid,2025-11-19 16:29:33,2025-12-03 13:29:33,Online,2025-11-19 16:29:33
PAY200082,T100082,0,0.0,No Fine,,,,2025-12-02 06:32:28
PAY200083,T100083,0,0.0,No Fine,,,,2025-12-21 17:13:25
PAY200084,T100084,0,0.0,No Fine,,,,2025-12-10 21:05:06
PAY200085,T100085,0,0.0,No Fine,,,,2025-12-03 12:42:00
PAY200086,T100086,0,0.0,No Fine,,,,2025-12-23 03:38:05
PAY200087,T100087,0,0.0,No Fine,,,,2025-12-05 22:41:29
PAY200088,T100088,0,0.0,No Fine,,,,2026-02-22 10:15:23
PAY200089,T100089,75,75.0,Paid,2026-01-08 00:09:27,2026-01-31 22:09:27,Online,2026-01-08 00:09:27
PAY200090,T100090,0,0.0,No Fine,,,,2026-02-13 05:55:13
PAY200091,T100091,0,0.0,No Fine,,,,2025-11-17 14:47:03
PAY200092,T100092,0,0.0,No Fine,,,,2026-01-30 02:54:32
PAY200093,T100093,0,0.0,No Fine,,,,2026-01-01 20:41:36
PAY200094,T100094,0,0.0,No Fine,,,,2026-02-24 22:43:09
PAY200095,T100095,0,0.0,No Fine,,,,2026-02-02 06:21:01
PAY200096,T100096,0,0.0,No Fine,,,,2025-12-29 14:55:46
PAY200097,T100097,0,0.0,No Fine,,,,2026-01-10 22:04:13
PAY200098,T100098,0,0.0,No Fine,,,,2026-01-09 23:26:11
PAY200099,T100099,0,0.0,No Fine,,,,2025-12-18 05:42:49
PAY200100,T100100,0,0.0,No Fine,,,,2026-02-10 13:09:01
PAY200101,T100101,0,0.0,No Fine,,,,2025-12-14 22:29:31
PAY200102,T100102,40,40.0,Paid,2025-12-29 03:37:36,2026-01-17 04:37:36,Card,2025-12-29 03:37:36
PAY200103,T100103,0,0.0,No Fine,,,,2026-02-25 03:41:19
PAY200104,T100104,75,75.0,Paid,2025-11-09 17:19:38,2025-12-01 06:19:38,Card,2025-11-09 17:19:38
PAY200105,T100105,0,0.0,No Fine,,,,2026-02-17 12:12:27
PAY200106,T100106,0,0.0,No Fine,,,,2026-02-11 13:29:38
PAY200107,T100107,0,0.0,No Fine,,,,2026-02-05 13:48:33
PAY200108,T100108,0,0.0,No Fine,,,,2026-01-31 13:59:43
PAY200109,T100109,55,55.0,Paid,2025-12-11 16:28:17,2026-01-08 07:28:17,Online,2025-12-11 16:28:17
PAY200110,T100110,0,0.0,No Fine,,,,2025-11-23 05:30:19
PAY200111,T100111,0,0.0,No Fine,,,,2025-12-27 05:12:21
PAY200112,T100112,60,60.0,Paid,2025-11-24 17:17:07,2025-12-24 06:17:07,Online,2025-11-24 17:17:07
PAY200113,T100113,0,0.0,No Fine,,,,2025-12-07 02:57:49
PAY200114,T100114,65,65.0,Paid,2026-01-21 11:26:22,2026-01-23 12:26:22,Online,2026-01-21 11:26:22
PAY200115,T100115,0,0.0,No Fine,,,,2026-02-24 14:53:03
PAY200116,T100116,0,0.0,No Fine,,,,2025-11-11 01:01:56
PAY200117,T100117,0,0.0,No Fine,,,,2025-12-26 02:29:48
PAY200118,T100118,0,0.0,No Fine,,,,2025-11-26 12:06:53
PAY200119,T100119,40,0.0,Unpaid,,2026-01-28 01:18:15,,2025-12-29 01:20:15
PAY200120,T100120,0,0.0,No Fine,,,,2026-02-27 02:29:19
PAY200121,T100121,0,0.0,No Fine,,,,2026-02-04 06:29:05
PAY200122,T100122,0,0.0,No Fine,,,,2025-12-26 13:28:12
PAY200123,T100123,0,0.0,No Fine,,,,2025-12-17 16:04:40
PAY200124,T100124,45,45.0,Paid,2025-11-10 08:08:10,2025-12-04 07:08:10,Card,2025-11-10 08:08:10
PAY200125,T100125,0,0.0,No Fine,,,,2026-01-27 05:16:07
PAY200126,T100126,75,75.0,Paid,2026-02-27 19:29:08,2026-03-03 06:29:08,Card,2026-02-27 19:29:08
PAY200127,T100127,50,50.0,Paid,2025-11-16 18:47:59,2025-12-11 05:47:59,Card,2025-11-16 18:47:59
PAY200128,T100128,70,70.0,Paid,2026-02-25 21:39:23,2026-03-14 20:39:23,Card,2026-02-25 21:39:23
PAY200129,T100129,0,0.0,No Fine,,,,2026-01-26 05:37:28
PAY200130,T100130,0,0.0,No Fine,,,,2025-11-25 05:14:45
PAY200131,T100131,0,0.0,No Fine,,,,2026-01-12 09:46:33
PAY200132,T100132,0,0.0,No Fine,,,,2026-01-11 02:46:02
PAY200133,T100133,0,0.0,No Fine,,,,2026-02-25 21:14:22
PAY200134,T100134,0,0.0,No Fine,,,,2026-02-28 13:57:11
PAY200135,T100135,0,0.0,No Fine,,,,2025-12-28 19:15:02
PAY200136,T100136,0,0.0,No Fine,,,,2025-12-15 16:02:44
PAY200137,T100137,0,0.0,No Fine,,,,2026-02-13 03:16:07
PAY200138,T100138,75,75.0,Paid,2025-12-18 03:40:43,2026-01-12 09:40:43,Online,2025-12-18 03:40:43
PAY200139,T100139,75,75.0,Paid,2026-03-01 11:50:34,2026-03-13 09:50:34,Online,2026-03-01 11:50:34
PAY200140,T100140,0,0.0,No Fine,,,,2025-12-31 18:42:25
PAY200141,T100141,55,55.0,Paid,2026-03-20 08:18:45,2026-03-25 12:18:45,Card,2026-03-20 08:18:45
PAY200142,T100142,0,0.0,No Fine,,,,2025-11-06 02:48:12
PAY200143,T100143,0,0.0,No Fine,,,,2025-11-11 10:33:06
PAY200144,T100144,55,55.0,Paid,2026-02-18 12:18:17,2026-03-18 14:18:17,Online,2026-02-18 12:18:17
PAY200145,T100145,60,60.0,Paid,2026-02-05 02:53:01,2026-02-18 16:53:01,Online,2026-02-05 02:53:01
PAY200146,T100146,0,0.0,No Fine,,,,2025-11-15 02:50:43
PAY200147,T100147,0,0.0,No Fine,,,,2025-11-18 21:44:51
PAY200148,T100148,0,0.0,No Fine,,,,2026-01-02 18:57:30
PAY200149,T100149,0,0.0,No Fine,,,,2025-11-14 11:38:59
PAY200150,T100150,0,0.0,No Fine,,,,2026-01-19 21:03:22
PAY200151,T100151,0,0.0,No Fine,,,,2025-12-27 10:32:46
PAY200152,T100152,0,0.0,No Fine,,,,2026-01-03 05:53:56
PAY200153,T100153,0,0.0,No Fine,,,,2025-11-26 06:34:24
PAY200154,T100154,0,0.0,No Fine,,,,2025-11-06 11:59:41
PAY200155,T100155,0,0.0,No Fine,,,,2026-02-07 23:06:25
PAY200156,T100156,0,0.0,No Fine,,,,2025-12-08 12:31:38
PAY200157,T100157,0,0.0,No Fine,,,,2026-01-05 18:53:03
PAY200158,T100158,0,0.0,No Fine,,,,2026-02-19 02:07:23
PAY200159,T100159,0,0.0,No Fine,,,,2025-11-03 10:53:54
PAY200160,T100160,0,0.0,No Fine,,,,2026-02-10 18:02:24
PAY200161,T100161,0,0.0,No Fine,,,,2026-02-03 09:10:35
PAY200162,T100162,0,0.0,No Fine,,,,2026-02-28 23:12:11
PAY200163,T100163,0,0.0,No Fine,,,,2026-02-09 07:26:34
PAY200164,T100164,40,40.0,Paid,2026-01-14 21:08:19,2026-02-10 12:08:19,Cash,2026-01-14 21:08:19
PAY200165,T100165,0,0.0,No Fine,,,,2025-11-10 20:28:23
PAY200166,T100166,0,0.0,No Fine,,,,2025-12-01 11:08:06
PAY200167,T100167,0,0.0,No Fine,,,,2025-11-14 22:29:28
PAY200168,T100168,0,0.0,No Fine,,,,2025-11-23 23:20:43
PAY200169,T100169,0,0.0,No Fine,,,,2025-11-10 07:28:45
PAY200170,T100170,0,0.0,No Fine,,,,2026-02-26 02:45:55
PAY200171,T100171,0,0.0,No Fine,,,,2025-11-09 02:19:32
PAY200172,T100172,0,0.0,No Fine,,,,2026-02-20 11:04:19
PAY200173,T100173,0,0.0,No Fine,,,,2026-02-18 22:48:29
PAY200174,T100174,0,0.0,No Fine,,,,2025-12-17 23:04:53
PAY200175,T100175,55,55.0,Paid,2026-03-25 01:18:48,2026-03-29 18:18:48,Card,2026-03-25 01:18:48
PAY200176,T100176,0,0.0,No Fine,,,,2025-11-27 02:06:20
PAY200177,T100177,0,0.0,No Fine,,,,2025-11-26 18:33:29
PAY200178,T100178,0,0.0,No Fine,,,,2025-12-30 18:01:43
PAY200179,T100179,0,0.0,No Fine,,,,2026-01-17 04:37:11
PAY200180,T100180,0,0.0,No Fine,,,,2025-12-10 00:40:41
PAY200181,T100181,0,0.0,No Fine,,,,2025-12-22 13:35:05
PAY200182,T100182,55,42.02,Partial,2025-12-07 15:51:26,2025-12-03 03:51:26,Card,2025-12-07 15:51:26
PAY200183,T100183,0,0.0,No Fine,,,,2025-11-09 21:06:31
PAY200184,T100184,0,0.0,No Fine,,,,2025-11-11 18:29:44
PAY200185,T100185,75,75.0,Paid,2026-02-07 19:45:52,2026-02-13 12:45:52,Cash,2026-02-07 19:45:52
PAY200186,T100186,0,0.0,No Fine,,,,2025-11-08 03:41:04
PAY200187,T100187,0,0.0,No Fine,,,,2026-02-23 11:38:01
PAY200188,T100188,0,0.0,No Fine,,,,2025-12-30 00:09:42
PAY200189,T100189,0,0.0,No Fine,,,,2025-12-10 23:59:17
PAY200190,T100190,0,0.0,No Fine,,,,2026-01-21 20:29:08
PAY200191,T100191,0,0.0,No Fine,,,,2025-12-10 12:02:18
PAY200192,T100192,0,0.0,No Fine,,,,2025-11-27 22:43:47
PAY200193,T100193,0,0.0,No Fine,,,,2026-01-01 18:34:30
PAY200194,T100194,0,0.0,No Fine,,,,2025-11-25 14:42:47
PAY200195,T100195,0,0.0,No Fine,,,,2026-02-16 09:24:21
PAY200196,T100196,0,0.0,No Fine,,,,2025-11-01 11:25:00
PAY200197,T100197,0,0.0,No Fine,,,,2026-02-28 04:35:40
PAY200198,T100198,60,0.0,Unpaid,,2026-01-22 21:56:58,,2025-12-23 21:58:58
PAY200199,T100199,0,0.0,No Fine,,,,2026-02-25 04:01:21
PAY200200,T100200,0,0.0,No Fine,,,,2026-02-14 10:24:12
PAY200201,T100201,0,0.0,No Fine,,,,2025-11-30 09:59:42
PAY200202,T100202,0,0.0,No Fine,,,,2025-12-08 15:54:39
PAY200203,T100203,0,0.0,No Fine,,,,2026-02-04 20:39:37
PAY200204,T100204,70,70.0,Paid,2026-01-06 22:28:11,2026-01-08 20:28:11,Card,2026-01-06 22:28:11
PAY200205,T100205,0,0.0,No Fine,,,,2025-12-26 16:41:20
PAY200206,T100206,0,0.0,No Fine,,,,2025-12-04 06:20:57
PAY200207,T100207,0,0.0,No Fine,,,,2026-02-02 13:20:09
PAY200208,T100208,0,0.0,No Fine,,,,2026-01-30 11:53:44
PAY200209,T100209,0,0.0,No Fine,,,,2026-01-19 02:28:23
PAY200210,T100210,0,0.0,No Fine,,,,2025-12-03 21:55:11
PAY200211,T100211,0,0.0,No Fine,,,,2026-02-02 09:24:14
PAY200212,T100212,45,45.0,Paid,2025-11-13 22:39:21,2025-12-11 04:39:21,Card,2025-11-13 22:39:21
PAY200213,T100213,0,0.0,No Fine,,,,2026-02-05 17:04:02
PAY200214,T100214,0,0.0,No Fine,,,,2026-01-14 17:39:42
PAY200215,T100215,0,0.0,No Fine,,,,2026-01-31 06:07:56
PAY200216,T100216,0,0.0,No Fine,,,,2026-01-31 15:51:57
PAY200217,T100217,0,0.0,No Fine,,,,2025-12-28 19:29:46
PAY200218,T100218,0,0.0,No Fine,,,,2025-12-03 13:00:30
PAY200219,T100219,0,0.0,No Fine,,,,2026-01-24 17:38:22
PAY200220,T100220,0,0.0,No Fine,,,,2026-02-09 02:29:42
PAY200221,T100221,75,75.0,Paid,2026-01-04 10:50:58,2026-01-20 23:50:58,Online,2026-01-04 10:50:58
PAY200222,T100222,55,55.0,Paid,2026-02-27 03:14:45,2026-03-12 05:14:45,Online,2026-02-27 03:14:45
PAY200223,T100223,0,0.0,No Fine,,,,2026-02-05 14:09:13
PAY200224,T100224,0,0.0,No Fine,,,,2025-11-24 00:43:50
PAY200225,T100225,0,0.0,No Fine,,,,2025-12-20 17:23:26
PAY200226,T100226,0,0.0,No Fine,,,,2026-02-16 09:16:21
PAY200227,T100227,0,0.0,No Fine,,,,2026-01-29 15:47:05
PAY200228,T100228,0,0.0,No Fine,,,,2025-11-05 09:55:55
PAY200229,T100229,0,0.0,No Fine,,,,2025-12-13 21:35:50
PAY200230,T100230,70,0.0,Unpaid,,2026-01-25 16:29:17,,2025-12-26 16:31:17
PAY200231,T100231,0,0.0,No Fine,,,,2026-02-06 22:11:52
PAY200232,T100232,0,0.0,No Fine,,,,2026-02-14 17:43:40
PAY200233,T100233,0,0.0,No Fine,,,,2025-12-22 01:53:32
PAY200234,T100234,55,55.0,Paid,2025-12-04 02:03:35,2025-12-29 21:03:35,Online,2025-12-04 02:03:35
PAY200235,T100235,50,50.0,Paid,2025-12-21 17:42:12,2025-12-29 05:42:12,Online,2025-12-21 17:42:12
PAY200236,T100236,50,50.0,Paid,2025-12-25 02:12:09,2026-01-23 13:12:09,Card,2025-12-25 02:12:09
PAY200237,T100237,0,0.0,No Fine,,,,2025-11-20 16:15:19
PAY200238,T100238,45,45.0,Paid,2026-01-08 19:48:33,2026-01-29 17:48:33,Card,2026-01-08 19:48:33
PAY200239,T100239,0,0.0,No Fine,,,,2025-11-07 12:10:42
PAY200240,T100240,45,45.0,Paid,2026-01-01 23:39:17,2026-01-10 07:39:17,Online,2026-01-01 23:39:17
PAY200241,T100241,0,0.0,No Fine,,,,2025-11-14 18:47:13
PAY200242,T100242,50,50.0,Paid,2026-01-02 22:47:17,2026-01-14 11:47:17,Card,2026-01-02 22:47:17
PAY200243,T100243,0,0.0,No Fine,,,,2025-12-29 11:56:54
PAY200244,T100244,0,0.0,No Fine,,,,2026-01-10 01:51:58
PAY200245,T100245,50,50.0,Paid,2026-01-06 18:49:07,2026-01-13 03:49:07,Card,2026-01-06 18:49:07
PAY200246,T100246,0,0.0,No Fine,,,,2026-02-09 19:25:17
PAY200247,T100247,55,55.0,Paid,2026-03-03 17:18:51,2026-03-18 15:18:51,Online,2026-03-03 17:18:51
PAY200248,T100248,70,70.0,Paid,2026-03-01 01:10:10,2026-03-08 03:10:10,Cash,2026-03-01 01:10:10
PAY200249,T100249,0,0.0,No Fine,,,,2026-02-25 01:40:33
PAY200250,T100250,0,0.0,No Fine,,,,2026-02-18 17:37:57
PAY200251,T100251,0,0.0,No Fine,,,,2026-02-22 16:10:27
PAY200252,T100252,75,49.1,Partial,2025-12-13 04:20:47,2025-12-03 00:20:47,Cash,2025-12-13 04:20:47
PAY200253,T100253,0,0.0,No Fine,,,,2025-12-22 18:42:13
PAY200254,T100254,0,0.0,No Fine,,,,2026-01-25 21:27:18
PAY200255,T100255,0,0.0,No Fine,,,,2025-12-16 04:15:05
PAY200256,T100256,0,0.0,No Fine,,,,2025-12-16 19:52:19
PAY200257,T100257,0,0.0,No Fine,,,,2026-01-28 00:42:08
PAY200258,T100258,0,0.0,No Fine,,,,2026-01-28 17:20:23
PAY200259,T100259,60,60.0,Paid,2026-01-24 02:34:30,2026-02-22 19:34:30,Online,2026-01-24 02:34:30
PAY200260,T100260,0,0.0,No Fine,,,,2026-02-02 11:49:31
PAY200261,T100261,0,0.0,No Fine,,,,2025-12-22 14:21:03
PAY200262,T100262,0,0.0,No Fine,,,,2026-01-28 01:38:46
PAY200263,T100263,0,0.0,No Fine,,,,2026-01-22 12:55:13
PAY200264,T100264,0,0.0,No Fine,,,,2026-01-28 23:15:18
PAY200265,T100265,0,0.0,No Fine,,,,2025-12-04 19:13:35
PAY200266,T100266,0,0.0,No Fine,,,,2026-01-30 07:20:02
PAY200267,T100267,75,0.0,Unpaid,,2026-01-13 17:13:33,,2025-12-14 17:15:33
PAY200268,T100268,0,0.0,No Fine,,,,2026-01-07 04:04:52
PAY200269,T100269,0,0.0,No Fine,,,,2025-11-24 06:47:15
PAY200270,T100270,55,55.0,Paid,2025-11-16 18:27:58,2025-12-11 22:27:58,Online,2025-11-16 18:27:58
PAY200271,T100271,0,0.0,No Fine,,,,2026-01-26 23:42:05
PAY200272,T100272,0,0.0,No Fine,,,,2025-11-18 19:59:37
PAY200273,T100273,0,0.0,No Fine,,,,2026-02-15 17:43:24
PAY200274,T100274,65,65.0,Paid,2025-12-23 09:56:05,2026-01-21 07:56:05,Online,2025-12-23 09:56:05
PAY200275,T100275,0,0.0,No Fine,,,,2025-11-09 16:45:00
PAY200276,T100276,70,70.0,Paid,2026-03-13 06:52:59,2026-03-26 14:52:59,Card,2026-03-13 06:52:59
PAY200277,T100277,0,0.0,No Fine,,,,2026-01-01 03:43:59
PAY200278,T100278,0,0.0,No Fine,,,,2025-12-03 00:54:37
PAY200279,T100279,0,0.0,No Fine,,,,2026-01-02 04:01:31
PAY200280,T100280,0,0.0,No Fine,,,,2026-01-23 20:41:37
PAY200281,T100281,0,0.0,No Fine,,,,2025-11-06 20:09:18
PAY200282,T100282,0,0.0,No Fine,,,,2025-12-05 03:04:21
PAY200283,T100283,0,0.0,No Fine,,,,2025-12-21 03:47:16
PAY200284,T100284,0,0.0,No Fine,,,,2025-12-25 00:06:10
PAY200285,T100285,45,45.0,Paid,2026-02-24 00:10:53,2026-03-09 10:10:53,Cash,2026-02-24 00:10:53
PAY200286,T100286,0,0.0,No Fine,,,,2026-01-17 04:41:10
PAY200287,T100287,0,0.0,No Fine,,,,2025-11-15 08:22:32
PAY200288,T100288,0,0.0,No Fine,,,,2025-12-31 00:19:47
PAY200289,T100289,0,0.0,No Fine,,,,2026-01-23 11:04:31
PAY200290,T100290,0,0.0,No Fine,,,,2026-01-07 17:41:00
PAY200291,T100291,0,0.0,No Fine,,,,2025-12-05 04:57:42
PAY200292,T100292,0,0.0,No Fine,,,,2025-11-24 01:26:27
PAY200293,T100293,40,40.0,Paid,2025-12-23 20:44:06,2026-01-03 23:44:06,Card,2025-12-23 20:44:06
PAY200294,T100294,0,0.0,No Fine,,,,2025-11-15 20:38:33
PAY200295,T100295,0,0.0,No Fine,,,,2026-02-06 16:38:17
PAY200296,T100296,0,0.0,No Fine,,,,2025-11-24 03:37:11
PAY200297,T100297,40,40.0,Paid,2026-02-15 18:58:52,2026-02-23 10:58:52,Online,2026-02-15 18:58:52
PAY200298,T100298,0,0.0,No Fine,,,,2026-02-13 00:51:13
PAY200299,T100299,0,0.0,No Fine,,,,2026-01-05 02:36:15
PAY200300,T100300,0,0.0,No Fine,,,,2026-01-25 07:15:04
PAY200301,T100301,0,0.0,No Fine,,,,2025-12-12 18:49:34
PAY200302,T100302,0,0.0,No Fine,,,,2025-11-29 13:23:29
PAY200303,T100303,0,0.0,No Fine,,,,2025-12-20 01:51:25
PAY200304,T100304,60,60.0,Paid,2025-12-12 06:39:47,2025-12-29 12:39:47,Card,2025-12-12 06:39:47
PAY200305,T100305,0,0.0,No Fine,,,,2026-02-03 11:57:52
PAY200306,T100306,70,70.0,Paid,2026-03-06 01:10:45,2026-03-19 08:10:45,Online,2026-03-06 01:10:45
PAY200307,T100307,60,0.0,Unpaid,,2026-02-23 04:53:13,,2026-01-24 04:55:13
PAY200308,T100308,55,55.0,Paid,2026-03-08 03:05:45,2026-03-23 20:05:45,Card,2026-03-08 03:05:45
PAY200309,T100309,50,0.0,Unpaid,,2025-12-23 21:31:04,,2025-11-23 21:33:04
PAY200310,T100310,0,0.0,No Fine,,,,2026-01-14 09:27:45
PAY200311,T100311,0,0.0,No Fine,,,,2025-12-16 09:13:05
PAY200312,T100312,65,65.0,Paid,2025-12-24 18:23:51,2026-01-06 10:23:51,Card,2025-12-24 18:23:51
PAY200313,T100313,0,0.0,No Fine,,,,2026-01-14 19:59:58
PAY200314,T100314,40,40.0,Paid,2026-01-25 19:05:29,2026-01-31 19:05:29,Cash,2026-01-25 19:05:29
PAY200315,T100315,0,0.0,No Fine,,,,2026-01-12 12:20:58
PAY200316,T100316,45,16.01,Partial,2025-12-26 20:44:05,2026-01-02 01:44:05,Online,2025-12-26 20:44:05
PAY200317,T100317,55,55.0,Paid,2026-02-12 13:08:57,2026-02-14 11:08:57,Card,2026-02-12 13:08:57
PAY200318,T100318,0,0.0,No Fine,,,,2026-02-17 06:22:46
PAY200319,T100319,0,0.0,No Fine,,,,2025-12-14 19:29:33
PAY200320,T100320,0,0.0,No Fine,,,,2025-12-18 08:43:01
PAY200321,T100321,0,0.0,No Fine,,,,2026-01-26 15:13:30
PAY200322,T100322,0,0.0,No Fine,,,,2025-12-19 19:25:11
PAY200323,T100323,0,0.0,No Fine,,,,2026-01-28 19:05:32
PAY200324,T100324,85,50.88,Partial,2025-12-04 11:37:04,2025-12-27 22:37:04,Card,2025-12-04 11:37:04
PAY200325,T100325,0,0.0,No Fine,,,,2025-11-16 15:19:11
PAY200326,T100326,45,18.4,Partial,2026-01-19 10:06:17,2026-01-17 00:06:17,Online,2026-01-19 10:06:17
