Transaction_ID,Vehicle_ID,Permit_ID,Parking_Space_ID,Zone_ID,Zone_Name,Zone_Type,Event_Time,System_Time_Stamp,Permit_Start_Time,Permit_End_Time,Permit_Status,Occupancy_Status,Violation_Type,Violation_Status,Fine_Amount,Created_At,Updated_At
T100011,V87397,P76215,S2805,Z007,Student Housing,Campus,2026-01-28 07:41:10,2026-01-28 07:45:00,2026-01-08 14:41:10,2026-02-12 23:41:10,Active,Occupied,,Closed,0,2026-01-28 06:58:10,2026-01-28 07:45:00
T100012,V65302,P86469,S3332,Z003,Residential North,Residential,2025-11-18 18:05:45,2025-11-18 18:07:51,2025-11-02 09:05:45,2025-12-19 13:05:45,Active,Occupied,,Closed,0,2025-11-18 16:23:45,2025-11-18 18:07:51
T100013,V14165,P59685,S2885,Z003,Residential North,Residential,2025-11-02 15:39:00,2025-11-02 15:40:12,2025-10-25 01:39:00,2025-11-21 06:39:00,Active,Occupied,,Closed,0,2025-11-02 15:01:00,2025-11-02 15:40:12
T100014,V13905,P56278,S1542,Z008,Old Town,Mixed Use,2025-11-03 00:19:58,2025-11-03 00:20:59,2025-10-25 17:19:58,2025-12-14 13:19:58,Active,Occupied,,Closed,0,2025-11-02 23:02:58,2025-11-03 00:20:59
T100015,V22280,P48280,S6495,Z005,Riverfront,Mixed Use,2025-11-17 09:28:39,2025-11-17 09:30:14,2025-11-01 12:28:39,2025-11-25 00:28:39,Active,Occupied,,Closed,0,2025-11-17 07:55:39,2025-11-17 09:30:14
T100016,V38657,P83757,S9074,Z004,Transit Hub,Commercial,2026-01-26 17:41:06,2026-01-26 17:42:19,2025-12-23 17:41:06,2026-01-25 11:41:06,Expired,Occupied,,Closed,0,2026-01-26 15:44:06,2026-01-26 17:42:19
T100017,V40495,P91563,S1217,Z008,Old Town,Mixed Use,2026-02-06 03:38:40,2026-02-06 03:41:16,2026-01-18 15:38:40,2026-03-11 01:38:40,Active,Occupied,Overtime Parking,Paid,40,2026-02-06 01:44:40,2026-02-06 03:41:16
T100018,V76237,P74679,S2404,Z008,Old Town,Mixed Use,2026-02-01 21:48:56,2026-02-01 21:51:54,2025-12-15 21:48:56,2026-01-31 19:48:56,Expired,Occupied,,Closed,0,2026-02-01 20:21:56,2026-02-01 21:51:54
T100019,V88907,P98993,S4055,Z003,Residential North,Residential,2025-11-30 00:47:23,2025-11-30 00:50:28,2025-09-30 00:47:23,2025-11-27 03:47:23,Expired,Vacant,Expired Meter,Issued,45,2025-11-29 23:47:23,2025-11-30 00:50:28
T100020,V13478,P70917,S5276,Z006,Civic Center,Commercial,2025-12-01 11:17:07,2025-12-01 11:19:04,2025-11-17 12:17:07,2026-01-04 18:17:07,Active,Occupied,,Closed,0,2025-12-01 09:39:07,2025-12-01 11:19:04
T100021,V83563,P84736,S5598,Z005,Riverfront,Mixed Use,2026-01-28 04:57:45,2026-01-28 05:01:19,2025-12-28 11:57:45,2026-02-03 05:57:45,Active,Occupied,No Permit,Issued,60,2026-01-28 03:20:45,2026-01-28 05:01:19
T100022,V36062,P21258,S3487,Z002,Campus East,Campus,2025-12-07 03:13:24,2025-12-07 03:16:55,2025-11-27 01:13:24,2025-12-21 07:13:24,Active,Occupied,Restricted Zone,Issued,75,2025-12-07 02:41:24,2025-12-07 03:16:55
T100023,V95181,P72742,S4235,Z008,Old Town,Mixed Use,2026-02-16 09:32:51,2026-02-16 09:36:47,2026-01-28 17:32:51,2026-02-21 07:32:51,Active,Vacant,Overtime Parking,Issued,40,2026-02-16 09:31:51,2026-02-16 09:36:47
T100024,V81426,P82608,S7498,Z004,Transit Hub,Commercial,2026-02-26 11:06:46,2026-02-26 11:07:18,2026-01-29 21:06:46,2026-03-25 16:06:46,Active,Occupied,,Closed,0,2026-02-26 10:03:46,2026-02-26 11:07:18
T100025,V64987,P92187,S1118,Z006,Civic Center,Commercial,2026-02-24 09:52:10,2026-02-24 09:52:55,2026-02-20 09:52:10,2026-03-25 01:52:10,Active,Occupied,,Closed,0,2026-02-24 09:46:10,2026-02-24 09:52:55
T100026,V38893,P92793,S3328,Z006,Civic Center,Commercial,2026-02-14 03:49:05,2026-02-14 03:51:48,2026-01-14 22:49:05,2026-03-19 18:49:05,Active,Occupied,,Closed,0,2026-02-14 02:17:05,2026-02-14 03:51:48
T100027,V68878,P30145,S6227,Z002,Campus East,Campus,2026-01-31 05:17:50,2026-01-31 05:18:05,2025-12-08 05:17:50,2026-01-27 12:17:50,Expired,Vacant,,Closed,0,2026-01-31 05:01:50,2026-01-31 05:18:05
T100028,V87236,P27713,S7802,Z008,Old Town,Mixed Use,2025-12-16 12:24:58,2025-12-16 12:25:32,2025-11-29 13:24:58,2026-01-11 10:24:58,Active,Occupied,,Closed,0,2025-12-16 11:38:58,2025-12-16 12:25:32
T100029,V46463,P12664,S9027,Z004,Transit Hub,Commercial,2026-01-08 01:28:43,2026-01-08 01:29:11,2026-01-03 17:28:43,2026-01-17 14:28:43,Active,Vacant,,Closed,0,2026-01-07 23:32:43,2026-01-08 01:29:11
T100030,V10851,P15766,S4854,Z005,Riverfront,Mixed Use,2025-11-23 17:27:29,2025-11-23 17:29:11,2025-11-14 15:27:29,2025-11-28 11:27:29,Active,Occupied,,Closed,0,2025-11-23 16:08:29,2025-11-23 17:29:11
T100031,V30926,P82108,S3936,Z001,Downtown Core,Commercial,2026-02-22 01:49:52,2026-02-22 01:53:47,2026-02-13 15:49:52,2026-03-24 18:49:52,Active,Occupied,,Closed,0,2026-02-22 00:10:52,2026-02-22 01:53:47
T100032,V65392,P94515,S3763,Z004,Transit Hub,Commercial,2026-01-31 09:50:14,2026-01-31 09:53:11,2026-01-07 15:50:14,2026-02-07 23:50:14,Active,Occupied,,Closed,0,2026-01-31 08:23:14,2026-01-31 09:53:11
T100033,V54597,P26164,S3013,Z002,Campus East,Campus,2026-01-31 05:09:23,2026-01-31 05:11:43,2025-11-28 05:09:23,2026-01-30 22:09:23,Expired,Occupied,,Closed,0,2026-01-31 04:09:23,2026-01-31 05:11:43
T100034,V46421,P13046,S8398,Z006,Civic Center,Commercial,2025-12-23 13:26:26,2025-12-23 13:27:42,2025-10-07 13:26:26,2025-12-19 19:26:26,Expired,Occupied,,Closed,0,2025-12-23 11:46:26,2025-12-23 13:27:42
T100035,V30379,P13952,S2694,Z005,Riverfront,Mixed Use,2026-01-28 09:42:48,2026-01-28 09:43:59,2026-01-21 01:42:48,2026-02-23 00:42:48,Active,Occupied,,Closed,0,2026-01-28 08:47:48,2026-01-28 09:43:59
T100036,V38221,P22768,S3688,Z004,Transit Hub,Commercial,2025-12-10 23:42:04,2025-12-10 23:42:29,2025-12-08 10:42:04,2026-01-17 21:42:04,Active,Occupied,No Permit,Issued,70,2025-12-10 22:19:04,2025-12-10 23:42:29
T100037,V54118,P43491,S5088,Z001,Downtown Core,Commercial,2026-02-03 21:52:09,2026-02-03 21:53:31,2026-02-02 22:52:09,2026-03-13 14:52:09,Active,Occupied,,Closed,0,2026-02-03 21:11:09,2026-02-03 21:53:31
T100038,V23396,P33318,S4058,Z001,Downtown Core,Commercial,2026-02-19 22:10:58,2026-02-19 22:12:58,2026-02-06 00:10:58,2026-03-07 06:10:58,Active,Vacant,,Closed,0,2026-02-19 21:22:58,2026-02-19 22:12:58
T100039,V22156,P76140,S1860,Z003,Residential North,Residential,2025-11-22 00:14:11,2025-11-22 00:16:13,2025-09-07 00:14:11,2025-11-20 03:14:11,Expired,Occupied,Restricted Zone,Paid,75,2025-11-21 22:39:11,2025-11-22 00:16:13
T100040,V59797,P63451,S6296,Z003,Residential North,Residential,2025-12-30 05:22:18,2025-12-30 05:24:12,2025-10-09 05:22:18,2025-12-28 12:22:18,Expired,Occupied,,Closed,0,2025-12-30 05:03:18,2025-12-30 05:24:12
T100041,V22676,P97530,S6412,Z007,Student Housing,Campus,2026-02-18 09:28:22,2026-02-18 09:28:30,2026-02-11 20:28:22,2026-03-08 17:28:22,Active,Occupied,,Closed,0,2026-02-18 07:49:22,2026-02-18 09:28:30
T100042,V57052,P64554,S6017,Z002,Campus East,Campus,2025-11-26 23:51:00,2025-11-26 23:53:50,2025-11-02 07:51:00,2025-11-30 05:51:00,Active,Vacant,,Closed,0,2025-11-26 22:31:00,2025-11-26 23:53:50
T100043,V55082,P88138,S1029,Z008,Old Town,Mixed Use,2025-11-03 19:51:40,2025-11-03 19:55:00,2025-11-02 16:51:40,2025-11-05 19:51:40,Active,Vacant,,Closed,0,2025-11-03 19:26:40,2025-11-03 19:55:00
T100044,V89131,P17563,S4197,Z004,Transit Hub,Commercial,2025-12-03 07:10:42,2025-12-03 07:12:20,2025-11-05 22:10:42,2026-01-01 09:10:42,Active,Occupied,,Closed,0,2025-12-03 05:43:42,2025-12-03 07:12:20
T100045,V44671,P61788,S5581,Z004,Transit Hub,Commercial,2026-01-31 23:24:34,2026-01-31 23:28:13,2026-01-15 07:24:34,2026-03-02 21:24:34,Active,Occupied,Overtime Parking,Paid,50,2026-01-31 22:51:34,2026-01-31 23:28:13
T100046,V15695,P33881,S4756,Z008,Old Town,Mixed Use,2025-12-16 08:26:29,2025-12-16 08:28:35,2025-11-17 09:26:29,2026-01-06 16:26:29,Active,Occupied,,Closed,0,2025-12-16 06:57:29,2025-12-16 08:28:35
T100047,V70217,P51908,S7174,Z007,Student Housing,Campus,2025-12-07 02:09:29,2025-12-07 02:09:53,2025-11-13 06:09:29,2026-01-20 22:09:29,Active,Occupied,,Closed,0,2025-12-07 00:32:29,2025-12-07 02:09:53
T100048,V80284,P21246,S9365,Z006,Civic Center,Commercial,2025-12-07 14:59:19,2025-12-07 15:02:05,2025-11-16 20:59:19,2026-01-03 04:59:19,Active,Occupied,Overtime Parking,Paid,50,2025-12-07 13:07:19,2025-12-07 15:02:05
T100049,V26361,P52180,S9850,Z006,Civic Center,Commercial,2026-02-25 10:17:13,2026-02-25 10:17:56,2026-02-17 04:17:13,2026-03-01 17:17:13,Active,Occupied,,Closed,0,2026-02-25 09:26:13,2026-02-25 10:17:56
T100050,V59615,P74021,S7829,Z007,Student Housing,Campus,2025-12-01 03:12:07,2025-12-01 03:14:48,2025-11-14 11:12:07,2026-01-03 21:12:07,Active,Vacant,,Closed,0,2025-12-01 02:19:07,2025-12-01 03:14:48
T100051,V20328,P52383,S2729,Z006,Civic Center,Commercial,2025-12-18 12:20:03,2025-12-18 12:22:30,2025-11-27 19:20:03,2025-12-27 13:20:03,Active,Occupied,,Closed,0,2025-12-18 11:49:03,2025-12-18 12:22:30
T100052,V82357,P86830,S5581,Z003,Residential North,Residential,2026-02-23 16:02:12,2026-02-23 16:02:20,2026-02-12 20:02:12,2026-04-07 16:02:12,Active,Occupied,,Closed,0,2026-02-23 15:55:12,2026-02-23 16:02:20
T100053,V48427,P54590,S1907,Z004,Transit Hub,Commercial,2025-12-29 15:31:32,2025-12-29 15:33:22,2025-12-12 04:31:32,2026-02-03 05:31:32,Active,Occupied,,Closed,0,2025-12-29 15:08:32,2025-12-29 15:33:22
T100054,V92397,P24113,S4521,Z007,Student Housing,Campus,2026-01-16 07:36:04,2026-01-16 07:39:55,2025-11-12 07:36:04,2026-01-12 11:36:04,Expired,Occupied,,Closed,0,2026-01-16 05:54:04,2026-01-16 07:39:55
T100055,V91070,P43208,S1453,Z004,Transit Hub,Commercial,2025-12-18 02:15:09,2025-12-18 02:17:59,2025-11-26 15:15:09,2025-12-30 14:15:09,Active,Vacant,,Closed,0,2025-12-18 01:17:09,2025-12-18 02:17:59
T100056,V57400,P86374,S7426,Z008,Old Town,Mixed Use,2025-11-01 14:55:49,2025-11-01 14:57:36,2025-08-18 14:55:49,2025-10-31 10:55:49,Expired,Occupied,,Closed,0,2025-11-01 14:33:49,2025-11-01 14:57:36
T100057,V85674,P15602,S7708,Z001,Downtown Core,Commercial,2026-02-13 00:01:50,2026-02-13 00:04:54,2026-01-16 17:01:50,2026-03-09 23:01:50,Active,Occupied,,Closed,0,2026-02-12 23:31:50,2026-02-13 00:04:54
T100058,V35203,P84063,S7097,Z003,Residential North,Residential,2025-12-09 00:49:09,2025-12-09 00:52:20,2025-11-27 08:49:09,2025-12-12 15:49:09,Active,Occupied,,Closed,0,2025-12-08 23:34:09,2025-12-09 00:52:20
T100059,V19116,P62106,S7496,Z005,Riverfront,Mixed Use,2026-02-08 04:08:26,2026-02-08 04:10:30,2026-01-10 22:08:26,2026-02-17 19:08:26,Active,Occupied,,Closed,0,2026-02-08 02:38:26,2026-02-08 04:10:30
T100060,V16006,P68366,S4260,Z003,Residential North,Residential,2026-01-14 22:30:35,2026-01-14 22:33:36,2025-12-24 11:30:35,2026-01-18 03:30:35,Active,Occupied,,Closed,0,2026-01-14 21:37:35,2026-01-14 22:33:36
T100061,V96673,P22865,S1323,Z007,Student Housing,Campus,2025-11-14 23:23:03,2025-11-14 23:24:09,2025-11-03 12:23:03,2025-11-23 16:23:03,Active,Vacant,Restricted Zone,Paid,75,2025-11-14 22:08:03,2025-11-14 23:24:09
T100062,V39871,P92898,S1443,Z005,Riverfront,Mixed Use,2025-12-20 00:28:58,2025-12-20 00:30:10,2025-12-18 10:28:58,2026-01-04 15:28:58,Active,Occupied,Expired Meter,Paid,45,2025-12-20 00:04:58,2025-12-20 00:30:10
T100063,V47930,P97908,S1632,Z001,Downtown Core,Commercial,2025-12-02 11:56:16,2025-12-02 11:58:04,2025-11-17 17:56:16,2025-12-26 20:56:16,Active,Occupied,,Closed,0,2025-12-02 10:38:16,2025-12-02 11:58:04
T100064,V20458,P11837,S5056,Z007,Student Housing,Campus,2026-02-24 07:32:14,2026-02-24 07:34:53,2026-02-17 18:32:14,2026-04-10 23:32:14,Active,Occupied,No Permit,Paid,60,2026-02-24 06:38:14,2026-02-24 07:34:53
T100065,V40512,P97005,S9326,Z002,Campus East,Campus,2025-11-03 08:20:00,2025-11-03 08:20:10,2025-10-08 09:20:00,2025-11-27 12:20:00,Active,Occupied,,Closed,0,2025-11-03 06:22:00,2025-11-03 08:20:10
T100066,V23238,P77010,S8880,Z004,Transit Hub,Commercial,2025-11-12 10:13:43,2025-11-12 10:15:37,2025-10-26 16:13:43,2025-11-14 21:13:43,Active,Occupied,,Closed,0,2025-11-12 08:58:43,2025-11-12 10:15:37
T100067,V59823,P11038,S6241,Z001,Downtown Core,Commercial,2026-02-15 01:23:15,2026-02-15 01:23:54,2025-12-29 01:23:15,2026-02-12 22:23:15,Expired,Occupied,Loading Zone Misuse,Paid,75,2026-02-15 00:09:15,2026-02-15 01:23:54
T100068,V46434,P10205,S6428,Z004,Transit Hub,Commercial,2025-11-20 13:20:07,2025-11-20 13:23:30,2025-08-22 13:20:07,2025-11-20 08:20:07,Expired,Occupied,Restricted Zone,Issued,85,2025-11-20 12:28:07,2025-11-20 13:23:30
T100069,V69429,P44756,S7802,Z006,Civic Center,Commercial,2026-01-18 00:29:02,2026-01-18 00:32:17,2026-01-08 08:29:02,2026-02-10 00:29:02,Active,Occupied,Expired Meter,Paid,55,2026-01-17 23:33:02,2026-01-18 00:32:17
T100070,V93320,P92727,S8361,Z002,Campus East,Campus,2025-12-31 07:27:47,2025-12-31 07:30:08,2025-12-24 19:27:47,2026-02-07 13:27:47,Active,Occupied,,Closed,0,2025-12-31 05:28:47,2025-12-31 07:30:08
T100071,V57819,P56273,S7298,Z002,Campus East,Campus,2026-01-25 09:29:08,2026-01-25 09:31:51,2026-01-03 09:29:08,2026-02-10 05:29:08,Active,Occupied,,Closed,0,2026-01-25 09:26:08,2026-01-25 09:31:51
T100072,V31319,P77481,S2315,Z001,Downtown Core,Commercial,2026-02-08 19:54:14,2026-02-08 19:58:07,2025-11-28 19:54:14,2026-02-08 09:54:14,Expired,Occupied,Expired Meter,Issued,55,2026-02-08 17:56:14,2026-02-08 19:58:07
T100073,V58520,P73405,S4838,Z002,Campus East,Campus,2026-01-13 08:41:56,2026-01-13 08:44:02,2025-12-24 06:41:56,2026-02-08 17:41:56,Active,Occupied,Restricted Zone,Paid,75,2026-01-13 06:44:56,2026-01-13 08:44:02
T100074,V56566,P34037,S5356,Z005,Riverfront,Mixed Use,2025-11-04 05:10:43,2025-11-04 05:12:12,2025-08-18 05:10:43,2025-11-03 21:10:43,Expired,Occupied,,Closed,0,2025-11-04 04:31:43,2025-11-04 05:12:12
T100075,V37460,P45769,S3982,Z002,Campus East,Campus,2025-12-23 18:20:37,2025-12-23 18:23:04,2025-12-14 03:20:37,2026-01-03 15:20:37,Active,Occupied,,Closed,0,2025-12-23 17:52:37,2025-12-23 18:23:04
T100076,V97841,P30529,S3139,Z004,Transit Hub,Commercial,2026-01-09 19:38:50,2026-01-09 19:39:34,2025-12-25 19:38:50,2026-01-10 19:38:50,Suspended,Occupied,,Closed,0,2026-01-09 19:07:50,2026-01-09 19:39:34
T100077,V44993,P96370,S4785,Z004,Transit Hub,Commercial,2026-01-09 08:08:30,2026-01-09 08:10:21,2025-12-10 12:08:30,2026-02-07 22:08:30,Active,Vacant,,Closed,0,2026-01-09 07:11:30,2026-01-09 08:10:21
T100078,V99593,P32871,S4162,Z007,Student Housing,Campus,2025-12-13 01:51:09,2025-12-13 01:52:20,2025-12-01 10:51:09,2025-12-30 04:51:09,Active,Occupied,,Closed,0,2025-12-13 00:48:09,2025-12-13 01:52:20
T100079,V94939,P73408,S5482,Z004,Transit Hub,Commercial,2026-01-03 11:53:48,2026-01-03 11:55:59,2025-12-11 20:53:48,2026-02-07 14:53:48,Active,Occupied,,Closed,0,2026-01-03 10:08:48,2026-01-03 11:55:59
T100080,V19358,P98262,S5426,Z007,Student Housing,Campus,2025-12-17 17:55:13,2025-12-17 17:57:22,2025-09-18 17:55:13,2025-12-16 01:55:13,Expired,Occupied,,Closed,0,2025-12-17 17:46:13,2025-12-17 17:57:22
T100081,V89840,P94031,S4855,Z004,Transit Hub,Commercial,2025-11-03 13:29:33,2025-11-03 13:31:03,2025-10-01 13:29:33,2025-11-06 13:29:33,Suspended,Occupied,Overtime Parking,Paid,50,2025-11-03 13:27:33,2025-11-03 13:31:03
T100082,V93227,P48403,S1343,Z005,Riverfront,Mixed Use,2025-12-02 06:30:28,2025-12-02 06:32:00,2025-11-05 02:30:28,2025-12-06 06:30:28,Active,Occupied,,Closed,0,2025-12-02 05:56:28,2025-12-02 06:32:00
T100083,V32431,P87216,S5114,Z008,Old Town,Mixed Use,2025-12-21 17:11:25,2025-12-21 17:11:37,2025-11-28 06:11:25,2026-01-10 21:11:25,Active,Occupied,,Closed,0,2025-12-21 16:05:25,2025-12-21 17:11:37
T100084,V80010,P61652,S8777,Z007,Student Housing,Campus,2025-12-10 21:03:06,2025-12-10 21:05:56,2025-11-11 05:03:06,2026-01-14 04:03:06,Active,Occupied,,Closed,0,2025-12-10 19:49:06,2025-12-10 21:05:56
T100085,V42087,P65514,S2476,Z003,Residential North,Residential,2025-12-03 12:40:00,2025-12-03 12:41:34,2025-11-28 07:40:00,2025-12-21 21:40:00,Active,Occupied,,Closed,0,2025-12-03 11:48:00,2025-12-03 12:41:34
T100086,V31417,P55818,S6045,Z006,Civic Center,Commercial,2025-12-23 03:36:05,2025-12-23 03:38:33,2025-10-15 03:36:05,2025-12-19 20:36:05,Expired,Occupied,,Closed,0,2025-12-23 02:16:05,2025-12-23 03:38:33
T100087,V70589,P96406,S3819,Z001,Downtown Core,Commercial,2025-12-05 22:39:29,2025-12-05 22:41:36,2025-11-23 17:39:29,2026-01-17 03:39:29,Active,Occupied,,Closed,0,2025-12-05 21:56:29,2025-12-05 22:41:36
T100088,V59735,P26843,S8950,Z004,Transit Hub,Commercial,2026-02-22 10:13:23,2026-02-22 10:13:45,2026-02-06 04:13:23,2026-03-26 14:13:23,Active,Occupied,,Closed,0,2026-02-22 09:28:23,2026-02-22 10:13:45
T100089,V45382,P91154,S3181,Z002,Campus East,Campus,2026-01-01 22:09:27,2026-01-01 22:10:10,2025-12-13 18:09:27,2026-02-15 18:09:27,Active,Occupied,Restricted Zone,Paid,75,2026-01-01 21:28:27,2026-01-01 22:10:10
T100090,V93886,P48982,S1187,Z008,Old Town,Mixed Use,2026-02-13 05:53:13,2026-02-13 05:56:10,2026-01-26 20:53:13,2026-03-14 08:53:13,Active,Occupied,,Closed,0,2026-02-13 05:47:13,2026-02-13 05:56:10
T100091,V83000,P77669,S6682,Z004,Transit Hub,Commercial,2025-11-17 14:45:03,2025-11-17 14:48:02,2025-10-06 14:45:03,2025-11-14 11:45:03,Expired,Occupied,,Closed,0,2025-11-17 12:55:03,2025-11-17 14:48:02
T100092,V38785,P36001,S2323,Z002,Campus East,Campus,2026-01-30 02:52:32,2026-01-30 02:53:30,2026-01-18 22:52:32,2026-02-02 22:52:32,Active,Occupied,,Closed,0,2026-01-30 01:34:32,2026-01-30 02:53:30
T100093,V99733,P15881,S4163,Z006,Civic Center,Commercial,2026-01-01 20:39:36,2026-01-01 20:42:53,2025-12-04 02:39:36,2026-02-14 19:39:36,Active,Occupied,,Closed,0,2026-01-01 19:48:36,2026-01-01 20:42:53
T100094,V52504,P55263,S6841,Z006,Civic Center,Commercial,2026-02-24 22:41:09,2026-02-24 22:41:40,2026-02-09 23:41:09,2026-04-10 18:41:09,Active,Vacant,,Closed,0,2026-02-24 22:13:09,2026-02-24 22:41:40
T100095,V17331,P25068,S5671,Z006,Civic Center,Commercial,2026-02-02 06:19:01,2026-02-02 06:21:25,2026-01-07 11:19:01,2026-03-17 20:19:01,Active,Occupied,,Closed,0,2026-02-02 05:24:01,2026-02-02 06:21:25
T100096,V40021,P69852,S2603,Z002,Campus East,Campus,2025-12-29 14:53:46,2025-12-29 14:56:01,2025-12-21 00:53:46,2026-02-07 01:53:46,Active,Occupied,,Closed,0,2025-12-29 13:59:46,2025-12-29 14:56:01
T100097,V14207,P26291,S5763,Z004,Transit Hub,Commercial,2026-01-10 22:02:13,2026-01-10 22:02:38,2025-10-14 22:02:13,2026-01-07 21:02:13,Expired,Occupied,,Closed,0,2026-01-10 20:45:13,2026-01-10 22:02:38
T100098,V51347,P86850,S2816,Z006,Civic Center,Commercial,2026-01-09 23:24:11,2026-01-09 23:27:36,2025-12-28 10:24:11,2026-01-27 09:24:11,Active,Occupied,,Closed,0,2026-01-09 22:26:11,2026-01-09 23:27:36
T100099,V62581,P70915,S7967,Z005,Riverfront,Mixed Use,2025-12-18 05:40:49,2025-12-18 05:43:58,2025-09-30 05:40:49,2025-12-17 20:40:49,Expired,Vacant,,Closed,0,2025-12-18 03:59:49,2025-12-18 05:43:58
T100100,V45093,P30353,S2922,Z007,Student Housing,Campus,2026-02-10 13:07:01,2026-02-10 13:08:30,2026-01-26 13:07:01,2026-03-03 16:07:01,Active,Occupied,,Closed,0,2026-02-10 11:40:01,2026-02-10 13:08:30
T100101,V18675,P53501,S2457,Z002,Campus East,Campus,2025-12-14 22:27:31,2025-12-14 22:28:22,2025-09-28 22:27:31,2025-12-14 02:27:31,Expired,Vacant,,Closed,0,2025-12-14 21:40:31,2025-12-14 22:28:22
T100102,V37653,P18381,S2296,Z002,Campus East,Campus,2025-12-18 04:37:36,2025-12-18 04:38:55,2025-12-09 20:37:36,2026-01-19 01:37:36,Active,Occupied,Overtime Parking,Paid,40,2025-12-18 02:55:36,2025-12-18 04:38:55
T100103,V84341,P33598,S3452,Z004,Transit Hub,Commercial,2026-02-25 03:39:19,2026-02-25 03:42:28,2026-02-13 12:39:19,2026-03-28 10:39:19,Active,Occupied,,Closed,0,2026-02-25 01:44:19,2026-02-25 03:42:28
T100104,V51245,P95529,S9651,Z002,Campus East,Campus,2025-11-01 06:19:38,2025-11-01 06:21:46,2025-10-27 06:19:38,2025-12-13 09:19:38,Active,Occupied,Restricted Zone,Paid,75,2025-11-01 04:30:38,2025-11-01 06:21:46
T100105,V37869,P38461,S5184,Z002,Campus East,Campus,2026-02-17 12:10:27,2026-02-17 12:10:54,2025-12-18 12:10:27,2026-02-14 01:10:27,Expired,Occupied,,Closed,0,2026-02-17 11:20:27,2026-02-17 12:10:54
T100106,V95909,P43556,S3411,Z006,Civic Center,Commercial,2026-02-11 13:27:38,2026-02-11 13:29:07,2026-01-28 12:27:38,2026-02-27 16:27:38,Active,Occupied,,Closed,0,2026-02-11 12:22:38,2026-02-11 13:29:07
T100107,V75435,P36957,S6218,Z004,Transit Hub,Commercial,2026-02-05 13:46:33,2026-02-05 13:50:28,2026-01-08 00:46:33,2026-03-19 02:46:33,Active,Occupied,,Closed,0,2026-02-05 12:38:33,2026-02-05 13:50:28
T100108,V61856,P40803,S7740,Z006,Civic Center,Commercial,2026-01-31 13:57:43,2026-01-31 13:59:32,2025-12-04 13:57:43,2026-01-30 15:57:43,Expired,Occupied,,Closed,0,2026-01-31 12:20:43,2026-01-31 13:59:32
