Audit_ID,Transaction_ID,Appeal_ID,Appeal_Status,Appeal_Date,Appeal_Reason,Data_Source_System,Data_Sync_Status,Sync_Time,Sensor_ID,Sensor_Occupancy_Status,Record_Status,Created_At
AUD300035,T100035,,None,,,Enforcement App,True,2026-01-28 09:45:40,SEN165,Occupied,Matched,2026-01-28 09:47:48
AUD300036,T100036,,None,,,Enforcement App,True,2025-12-10 23:44:40,SEN593,Occupied,Matched,2025-12-10 23:47:04
AUD300037,T100037,,None,,,Payment Gateway,True,2026-02-03 21:55:16,SEN256,Occupied,Matched,2026-02-03 21:57:09
AUD300038,T100038,,None,,,Enforcement App,True,2026-02-19 22:13:21,SEN348,Occupied,Matched,2026-02-19 22:15:58
AUD300039,T100039,,None,,,Payment Gateway,False,2025-11-22 00:33:37,SEN932,Occupied,Pending,2025-11-22 00:19:11
AUD300040,T100040,,None,,,Enforcement App,True,2025-12-30 05:25:10,SEN361,Occupied,Matched,2025-12-30 05:27:18
AUD300041,T100041,,None,,,Enforcement App,True,2026-02-18 09:29:53,SEN247,Occupied,Matched,2026-02-18 09:33:22
AUD300042,T100042,,None,,,Permit Portal,True,2025-11-26 23:51:32,SEN770,Occupied,Matched,2025-11-26 23:56:00
AUD300043,T100043,,None,,,Enforcement App,True,2025-11-03 19:52:06,SEN777,Occupied,Matched,2025-11-03 19:56:40
AUD300044,T100044,,None,,,Sensor Network,True,2025-12-03 07:12:39,SEN994,Vacant,Matched,2025-12-03 07:15:42
AUD300045,T100045,,None,,,Enforcement App,True,2026-01-31 23:25:05,SEN160,Occupied,Matched,2026-01-31 23:29:34
AUD300046,T100046,,None,,,Payment Gateway,True,2025-12-16 08:29:45,SEN537,Occupied,Matched,2025-12-16 08:31:29
AUD300047,T100047,,None,,,Permit Portal,True,2025-12-07 02:11:32,SEN312,Occupied,Matched,2025-12-07 02:14:29
AUD300048,T100048,,None,,,Enforcement App,True,2025-12-07 15:03:34,SEN151,Occupied,Matched,2025-12-07 15:04:19
AUD300049,T100049,,None,,,Enforcement App,True,2026-02-25 10:18:27,SEN674,Occupied,Matched,2026-02-25 10:22:13
AUD300050,T100050,,None,,,Enforcement App,True,2025-12-01 03:15:49,SEN892,Occupied,Matched,2025-12-01 03:17:07
AUD300051,T100051,,None,,,Payment Gateway,True,2025-12-18 12:22:18,SEN130,Occupied,Matched,2025-12-18 12:25:03
AUD300052,T100052,,None,,,Enforcement App,True,2026-02-23 16:02:59,SEN181,Occupied,Matched,2026-02-23 16:07:12
AUD300053,T100053,,None,,,Sensor Network,True,2025-12-29 15:35:13,SEN315,Occupied,Review Needed,2025-12-29 15:36:32
AUD300054,T100054,,None,,,Enforcement App,True,2026-01-16 07:40:53,SEN387,Occupied,Review Needed,2026-01-16 07:41:04
AUD300055,T100055,,None,,,Enforcement App,False,2025-12-18 02:37:06,SEN745,Occupied,Matched,2025-12-18 02:20:09
AUD300056,T100056,,None,,,Sensor Network,True,2025-11-01 15:00:22,SEN316,Occupied,Matched,2025-11-01 15:00:49
AUD300057,T100057,,None,,,Permit Portal,True,2026-02-13 00:04:54,SEN783,Occupied,Matched,2026-02-13 00:06:50
AUD300058,T100058,,None,,,Sensor Network,True,2025-12-09 00:51:51,SEN658,Occupied,Duplicate,2025-12-09 00:54:09
AUD300059,T100059,,None,,,Payment Gateway,True,2026-02-08 04:11:50,SEN302,Occupied,Matched,2026-02-08 04:13:26
AUD300060,T100060,,None,,,Permit Portal,True,2026-01-14 22:32:41,SEN941,Occupied,Pending,2026-01-14 22:35:35
AUD300061,T100061,,None,,,Enforcement App,True,2025-11-14 23:26:00,SEN332,Occupied,Matched,2025-11-14 23:28:03
AUD300062,T100062,,None,,,Payment Gateway,True,2025-12-20 00:29:32,SEN980,Occupied,Matched,2025-12-20 00:33:58
AUD300063,T100063,,None,,,Permit Portal,True,2025-12-02 12:00:53,SEN676,Occupied,Matched,2025-12-02 12:01:16
AUD300064,T100064,,None,,,Payment Gateway,True,2026-02-24 07:33:38,SEN297,Occupied,Matched,2026-02-24 07:37:14
AUD300065,T100065,,None,,,Enforcement App,False,2025-11-03 08:47:43,SEN901,Occupied,Matched,2025-11-03 08:25:00
AUD300066,T100066,,None,,,Sensor Network,True,2025-11-12 10:14:57,SEN921,Occupied,Pending,2025-11-12 10:18:43
AUD300067,T100067,,None,,,Sensor Network,False,2026-02-15 01:29:18,SEN315,Occupied,Matched,2026-02-15 01:28:15
AUD300068,T100068,,None,,,Enforcement App,True,2025-11-20 13:20:30,SEN418,Occupied,Matched,2025-11-20 13:25:07
AUD300069,T100069,,None,,,Payment Gateway,True,2026-01-18 00:32:28,SEN404,Occupied,Pending,2026-01-18 00:34:02
AUD300070,T100070,,None,,,Sensor Network,True,2025-12-31 07:28:28,SEN243,Occupied,Matched,2025-12-31 07:32:47
AUD300071,T100071,,None,,,Enforcement App,True,2026-01-25 09:29:33,SEN796,Occupied,Pending,2026-01-25 09:34:08
AUD300072,T100072,,None,,,Permit Portal,True,2026-02-08 19:57:47,SEN635,Occupied,Matched,2026-02-08 19:59:14
AUD300073,T100073,,None,,,Sensor Network,True,2026-01-13 08:44:05,SEN567,Vacant,Matched,2026-01-13 08:46:56
AUD300074,T100074,,None,,,Permit Portal,True,2025-11-04 05:14:18,SEN459,Occupied,Matched,2025-11-04 05:15:43
AUD300075,T100075,,None,,,Permit Portal,True,2025-12-23 18:21:39,SEN951,Occupied,Matched,2025-12-23 18:25:37
AUD300076,T100076,,None,,,Enforcement App,True,2026-01-09 19:42:46,SEN650,Occupied,Matched,2026-01-09 19:43:50
AUD300077,T100077,,None,,,Enforcement App,True,2026-01-09 08:10:26,SEN668,Occupied,Matched,2026-01-09 08:13:30
AUD300078,T100078,,None,,,Enforcement App,True,2025-12-13 01:52:46,SEN856,Occupied,Matched,2025-12-13 01:56:09
AUD300079,T100079,,None,,,Permit Portal,True,2026-01-03 11:55:21,SEN155,Occupied,Matched,2026-01-03 11:58:48
AUD300080,T100080,,None,,,Permit Portal,True,2025-12-17 17:55:59,SEN496,Occupied,Pending,2025-12-17 18:00:13
AUD300081,T100081,,None,,,Permit Portal,True,2025-11-03 13:33:30,SEN255,Vacant,Matched,2025-11-03 13:34:33
AUD300082,T100082,,None,,,Sensor Network,True,2025-12-02 06:32:00,SEN734,Occupied,Matched,2025-12-02 06:35:28
AUD300083,T100083,,None,,,Permit Portal,True,2025-12-21 17:14:40,SEN708,Occupied,Matched,2025-12-21 17:16:25
AUD300084,T100084,,None,,,Sensor Network,True,2025-12-10 21:07:26,SEN298,Occupied,Pending,2025-12-10 21:08:06
AUD300085,T100085,,None,,,Enforcement App,True,2025-12-03 12:42:10,SEN984,Occupied,Matched,2025-12-03 12:45:00
AUD300086,T100086,,None,,,Permit Portal,True,2025-12-23 03:39:36,SEN530,Occupied,Matched,2025-12-23 03:41:05
AUD300087,T100087,,None,,,Sensor Network,True,2025-12-05 22:40:48,SEN875,Occupied,Matched,2025-12-05 22:44:29
AUD300088,T100088,,None,,,Payment Gateway,True,2026-02-22 10:14:18,SEN849,Occupied,Matched,2026-02-22 10:18:23
AUD300089,T100089,,None,,,Permit Portal,True,2026-01-01 22:10:13,SEN798,Occupied,Review Needed,2026-01-01 22:14:27
AUD300090,T100090,,None,,,Enforcement App,True,2026-02-13 05:56:34,SEN257,Occupied,Matched,2026-02-13 05:58:13
AUD300091,T100091,,None,,,Sensor Network,True,2025-11-17 14:48:11,SEN719,Occupied,Review Needed,2025-11-17 14:50:03
AUD300092,T100092,,None,,,Sensor Network,True,2026-01-30 02:57:10,SEN652,Occupied,Pending,2026-01-30 02:57:32
AUD300093,T100093,,None,,,Enforcement App,False,2026-01-01 20:59:04,SEN126,Occupied,Matched,2026-01-01 20:44:36
AUD300094,T100094,,None,,,Sensor Network,True,2026-02-24 22:44:49,SEN252,Occupied,Matched,2026-02-24 22:46:09
AUD300095,T100095,,None,,,Enforcement App,True,2026-02-02 06:23:14,SEN835,Occupied,Pending,2026-02-02 06:24:01
AUD300096,T100096,,None,,,Sensor Network,True,2025-12-29 14:57:38,SEN458,Occupied,Matched,2025-12-29 14:58:46
AUD300097,T100097,,None,,,Payment Gateway,True,2026-01-10 22:06:21,SEN908,Occupied,Matched,2026-01-10 22:07:13
AUD300098,T100098,,None,,,Enforcement App,True,2026-01-09 23:29:06,SEN253,Occupied,Matched,2026-01-09 23:29:11
AUD300099,T100099,,None,,,Payment Gateway,True,2025-12-18 05:41:00,SEN481,Occupied,Matched,2025-12-18 05:45:49
AUD300100,T100100,,None,,,Sensor Network,True,2026-02-10 13:11:27,SEN900,Occupied,Matched,2026-02-10 13:12:01
AUD300101,T100101,,None,,,Enforcement App,True,2025-12-14 22:27:53,SEN441,Occupied,Matched,2025-12-14 22:32:31
AUD300102,T100102,,None,,,Enforcement App,True,2025-12-18 04:38:03,SEN641,Vacant,Matched,2025-12-18 04:42:36
AUD300103,T100103,,None,,,Enforcement App,True,2026-02-25 03:39:32,SEN431,Occupied,Matched,2026-02-25 03:44:19
AUD300104,T100104,,None,,,Payment Gateway,False,2025-11-01 06:39:48,SEN673,Vacant,Matched,2025-11-01 06:24:38
AUD300105,T100105,,None,,,Enforcement App,False,2026-02-17 12:24:18,SEN100,Occupied,Pending,2026-02-17 12:15:27
AUD300106,T100106,,None,,,Enforcement App,True,2026-02-11 13:28:33,SEN293,Occupied,Matched,2026-02-11 13:32:38
AUD300107,T100107,,None,,,Permit Portal,True,2026-02-05 13:48:32,SEN306,Occupied,Matched,2026-02-05 13:51:33
AUD300108,T100108,,None,,,Permit Portal,True,2026-01-31 14:00:35,SEN464,Occupied,Matched,2026-01-31 14:02:43
AUD300109,T100109,,None,,,Enforcement App,True,2025-12-09 07:31:41,SEN292,Occupied,Matched,2025-12-09 07:33:17
AUD300110,T100110,,None,,,Enforcement App,True,2025-11-23 05:32:44,SEN144,Occupied,Matched,2025-11-23 05:33:19
AUD300111,T100111,,None,,,Permit Portal,True,2025-12-27 05:10:54,SEN242,Occupied,Pending,2025-12-27 05:15:21
AUD300112,T100112,,None,,,Enforcement App,True,2025-11-24 06:20:50,SEN826,Occupied,Matched,2025-11-24 06:22:07
AUD300113,T100113,,None,,,Payment Gateway,True,2025-12-07 02:57:38,SEN635,Occupied,Matched,2025-12-07 03:00:49
AUD300114,T100114,,None,,,Permit Portal,True,2025-12-24 12:29:04,SEN288,Occupied,Matched,2025-12-24 12:31:22
AUD300115,T100115,,None,,,Enforcement App,True,2026-02-24 14:55:07,SEN558,Occupied,Matched,2026-02-24 14:56:03
AUD300116,T100116,,None,,,Payment Gateway,True,2025-11-11 01:02:36,SEN532,Occupied,Matched,2025-11-11 01:04:56
AUD300117,T100117,,None,,,Enforcement App,True,2025-12-26 02:30:11,SEN479,Vacant,Matched,2025-12-26 02:32:48
AUD300118,T100118,,None,,,Sensor Network,True,2025-11-26 12:06:06,SEN744,Vacant,Matched,2025-11-26 12:09:53
AUD300119,T100119,,None,,,Payment Gateway,True,2025-12-29 01:22:22,SEN586,Vacant,Matched,2025-12-29 01:23:15
AUD300120,T100120,,None,,,Enforcement App,True,2026-02-27 02:31:39,SEN117,Occupied,Matched,2026-02-27 02:32:19
AUD300121,T100121,,None,,,Permit Portal,True,2026-02-04 06:31:21,SEN516,Occupied,Pending,2026-02-04 06:32:05
AUD300122,T100122,,None,,,Enforcement App,True,2025-12-26 13:27:03,SEN669,Occupied,Pending,2025-12-26 13:31:12
AUD300123,T100123,,None,,,Permit Portal,True,2025-12-17 16:03:04,SEN780,Vacant,Matched,2025-12-17 16:07:40
AUD300124,T100124,,None,,,Enforcement App,True,2025-11-04 07:11:11,SEN801,Occupied,Matched,2025-11-04 07:13:10
AUD300125,T100125,,None,,,Enforcement App,True,2026-01-27 05:18:05,SEN631,Occupied,Matched,2026-01-27 05:19:07
AUD300126,T100126,A400126,Approved,2026-02-18 06:29:08,Sensor Error,Payment Gateway,True,2026-02-01 06:31:16,SEN405,Occupied,Matched,2026-02-01 06:34:08
AUD300127,T100127,,None,,,Sensor Network,True,2025-11-11 05:50:28,SEN552,Occupied,Matched,2025-11-11 05:52:59
AUD300128,T100128,,None,,,Permit Portal,True,2026-02-12 20:40:07,SEN918,Occupied,Matched,2026-02-12 20:44:23
AUD300129,T100129,,None,,,Permit Portal,True,2026-01-26 05:39:33,SEN305,Occupied,Matched,2026-01-26 05:40:28
AUD300130,T100130,,None,,,Enforcement App,True,2025-11-25 05:15:05,SEN379,Occupied,Matched,2025-11-25 05:17:45
AUD300131,T100131,,None,,,Sensor Network,True,2026-01-12 09:47:33,SEN102,Vacant,Matched,2026-01-12 09:49:33
AUD300132,T100132,,None,,,Enforcement App,False,2026-01-11 02:57:00,SEN816,Occupied,Review Needed,2026-01-11 02:49:02
AUD300133,T100133,,None,,,Permit Portal,False,2026-02-25 21:29:12,SEN620,Vacant,Matched,2026-02-25 21:17:22
AUD300134,T100134,,None,,,Permit Portal,True,2026-02-28 13:56:30,SEN342,Occupied,Pending,2026-02-28 14:00:11
AUD300135,T100135,,None,,,Sensor Network,True,2025-12-28 19:14:05,SEN956,Occupied,Matched,2025-12-28 19:18:02
AUD300136,T100136,,None,,,Enforcement App,True,2025-12-15 16:03:40,SEN535,Occupied,Matched,2025-12-15 16:05:44
AUD300137,T100137,,None,,,Enforcement App,True,2026-02-13 03:16:29,SEN121,Occupied,Matched,2026-02-13 03:19:07
AUD300138,T100138,,None,,,Enforcement App,True,2025-12-13 09:45:03,SEN296,Occupied,Matched,2025-12-13 09:45:43
AUD300139,T100139,,None,,,Payment Gateway,True,2026-02-11 09:50:49,SEN511,Occupied,Matched,2026-02-11 09:55:34
AUD300140,T100140,,None,,,Payment Gateway,True,2025-12-31 18:43:55,SEN561,Occupied,Review Needed,2025-12-31 18:45:25
AUD300141,T100141,,None,,,Payment Gateway,True,2026-02-23 12:18:58,SEN838,Occupied,Duplicate,2026-02-23 12:23:45
AUD300142,T100142,,None,,,Enforcement App,True,2025-11-06 02:47:35,SEN206,Vacant,Matched,2025-11-06 02:51:12
AUD300143,T100143,,None,,,Sensor Network,True,2025-11-11 10:33:46,SEN294,Occupied,Matched,2025-11-11 10:36:06
AUD300144,T100144,,None,,,Sensor Network,True,2026-02-16 14:23:11,SEN147,Occupied,Matched,2026-02-16 14:23:17
AUD300145,T100145,,None,,,Sensor Network,True,2026-01-19 16:56:41,SEN585,Occupied,Matched,2026-01-19 16:58:01
AUD300146,T100146,,None,,,Permit Portal,True,2025-11-15 02:50:35,SEN676,Occupied,Matched,2025-11-15 02:53:43
AUD300147,T100147,,None,,,Permit Portal,True,2025-11-18 21:43:35,SEN894,Occupied,Matched,2025-11-18 21:47:51
AUD300148,T100148,,None,,,Payment Gateway,True,2026-01-02 18:55:46,SEN523,Occupied,Review Needed,2026-01-02 19:00:30
AUD300149,T100149,,None,,,Enforcement App,True,2025-11-14 11:40:27,SEN386,Occupied,Matched,2025-11-14 11:41:59
AUD300150,T100150,,None,,,Payment Gateway,True,2026-01-19 21:02:23,SEN495,Occupied,Duplicate,2026-01-19 21:06:22
AUD300151,T100151,,None,,,Payment Gateway,True,2025-12-27 10:32:35,SEN418,Occupied,Matched,2025-12-27 10:35:46
AUD300152,T100152,,None,,,Enforcement App,True,2026-01-03 05:56:37,SEN325,Occupied,Matched,2026-01-03 05:56:56
AUD300153,T100153,,None,,,Sensor Network,True,2025-11-26 06:35:20,SEN837,Vacant,Matched,2025-11-26 06:37:24
AUD300154,T100154,,None,,,Sensor Network,True,2025-11-06 12:00:49,SEN900,Occupied,Matched,2025-11-06 12:02:41
AUD300155,T100155,,None,,,Enforcement App,True,2026-02-07 23:06:57,SEN323,Occupied,Matched,2026-02-07 23:09:25
AUD300156,T100156,,None,,,Payment Gateway,True,2025-12-08 12:34:25,SEN224,Occupied,Matched,2025-12-08 12:34:38
AUD300157,T100157,,None,,,Enforcement App,True,2026-01-05 18:56:02,SEN907,Occupied,Matched,2026-01-05 18:56:03
AUD300158,T100158,,None,,,Enforcement App,True,2026-02-19 02:07:04,SEN671,Occupied,Pending,2026-02-19 02:10:23
AUD300159,T100159,,None,,,Sensor Network,True,2025-11-03 10:52:13,SEN747,Occupied,Matched,2025-11-03 10:56:54
AUD300160,T100160,,None,,,Permit Portal,False,2026-02-10 18:17:45,SEN839,Occupied,Matched,2026-02-10 18:05:24
AUD300161,T100161,,None,,,Enforcement App,True,2026-02-03 09:11:54,SEN536,Occupied,Matched,2026-02-03 09:13:35
AUD300162,T100162,,None,,,Permit Portal,True,2026-02-28 23:14:58,SEN838,Occupied,Matched,2026-02-28 23:15:11
AUD300163,T100163,,None,,,Sensor Network,True,2026-02-09 07:26:26,SEN510,Occupied,Matched,2026-02-09 07:29:34
AUD300164,T100164,A400164,Rejected,2026-01-17 12:08:19,Valid Permit,Enforcement App,True,2026-01-11 12:09:47,SEN330,Occupied,Matched,2026-01-11 12:13:19
AUD300165,T100165,,None,,,Payment Gateway,True,2025-11-10 20:30:15,SEN197,Occupied,Review Needed,2025-11-10 20:31:23
AUD300166,T100166,,None,,,Sensor Network,True,2025-12-01 11:06:59,SEN625,Occupied,Matched,2025-12-01 11:11:06
AUD300167,T100167,,None,,,Permit Portal,True,2025-11-14 22:31:38,SEN703,Vacant,Duplicate,2025-11-14 22:32:28
AUD300168,T100168,,None,,,Sensor Network,True,2025-11-23 23:22:23,SEN343,Occupied,Pending,2025-11-23 23:23:43
AUD300169,T100169,,None,,,Sensor Network,True,2025-11-10 07:30:53,SEN912,Occupied,Matched,2025-11-10 07:31:45
AUD300170,T100170,,None,,,Sensor Network,True,2026-02-26 02:44:33,SEN197,Occupied,Matched,2026-02-26 02:48:55
AUD300171,T100171,,None,,,Permit Portal,True,2025-11-09 02:20:23,SEN286,Occupied,Matched,2025-11-09 02:22:32
AUD300172,T100172,,None,,,Enforcement App,True,2026-02-20 11:03:12,SEN161,Occupied,Matched,2026-02-20 11:07:19
AUD300173,T100173,,None,,,Sensor Network,True,2026-02-18 22:49:39,SEN811,Occupied,Matched,2026-02-18 22:51:29
AUD300174,T100174,,None,,,Payment Gateway,True,2025-12-17 23:04:46,SEN326,Vacant,Matched,2025-12-17 23:07:53
AUD300175,T100175,,None,,,Enforcement App,True,2026-02-27 18:19:02,SEN759,Occupied,Matched,2026-02-27 18:23:48
AUD300176,T100176,,None,,,Sensor Network,True,2025-11-27 02:04:38,SEN994,Occupied,Review Needed,2025-11-27 02:09:20
AUD300177,T100177,,None,,,Enforcement App,True,2025-11-26 18:33:17,SEN750,Occupied,Matched,2025-11-26 18:36:29
AUD300178,T100178,,None,,,Payment Gateway,True,2025-12-30 18:03:23,SEN545,Occupied,Duplicate,2025-12-30 18:04:43
AUD300179,T100179,,None,,,Permit Portal,True,2026-01-17 04:39:26,SEN948,Occupied,Matched,2026-01-17 04:40:11
AUD300180,T100180,,None,,,Enforcement App,True,2025-12-10 00:43:28,SEN691,Occupied,Matched,2025-12-10 00:43:41
AUD300181,T100181,,None,,,Enforcement App,True,2025-12-22 13:37:29,SEN813,Occupied,Pending,2025-12-22 13:38:05
AUD300182,T100182,,None,,,Permit Portal,True,2025-11-03 03:53:36,SEN817,Vacant,Matched,2025-11-03 03:56:26
AUD300183,T100183,,None,,,Enforcement App,True,2025-11-09 21:05:26,SEN529,Occupied,Matched,2025-11-09 21:09:31
AUD300184,T100184,,None,,,Enforcement App,True,2025-11-11 18:29:28,SEN807,Occupied,Matched,2025-11-11 18:32:44
AUD300185,T100185,,None,,,Sensor Network,True,2026-01-14 12:47:01,SEN793,Vacant,Matched,2026-01-14 12:50:52
AUD300186,T100186,,None,,,Sensor Network,True,2025-11-08 03:44:02,SEN734,Occupied,Matched,2025-11-08 03:44:04
AUD300187,T100187,,None,,,Sensor Network,True,2026-02-23 11:37:00,SEN159,Occupied,Matched,2026-02-23 11:41:01
AUD300188,T100188,,None,,,Enforcement App,True,2025-12-30 00:08:07,SEN459,Occupied,Duplicate,2025-12-30 00:12:42
AUD300189,T100189,,None,,,Payment Gateway,True,2025-12-10 23:59:56,SEN416,Occupied,Matched,2025-12-11 00:02:17
AUD300190,T100190,,None,,,Payment Gateway,True,2026-01-21 20:27:34,SEN739,Occupied,Matched,2026-01-21 20:32:08
AUD300191,T100191,,None,,,Permit Portal,False,2025-12-10 12:13:19,SEN527,Occupied,Matched,2025-12-10 12:05:18
AUD300192,T100192,,None,,,Payment Gateway,True,2025-11-27 22:46:34,SEN458,Occupied,Matched,2025-11-27 22:46:47
AUD300193,T100193,,None,,,Payment Gateway,True,2026-01-01 18:36:50,SEN868,Occupied,Matched,2026-01-01 18:37:30
AUD300194,T100194,,None,,,Enforcement App,True,2025-11-25 14:44:28,SEN973,Occupied,Matched,2025-11-25 14:45:47
AUD300195,T100195,,None,,,Enforcement App,True,2026-02-16 09:26:56,SEN531,Occupied,Matched,2026-02-16 09:27:21
AUD300196,T100196,,None,,,Enforcement App,True,2025-11-01 11:26:47,SEN843,Occupied,Review Needed,2025-11-01 11:28:00
AUD300197,T100197,,None,,,Sensor Network,True,2026-02-28 04:34:32,SEN831,Vacant,Matched,2026-02-28 04:38:40
AUD300198,T100198,,None,,,Enforcement App,True,2025-12-23 21:58:48,SEN849,Occupied,Matched,2025-12-23 22:01:58
AUD300199,T100199,,None,,,Enforcement App,True,2026-02-25 04:02:12,SEN491,Occupied,Matched,2026-02-25 04:04:21
AUD300200,T100200,,None,,,Payment Gateway,True,2026-02-14 10:27:03,SEN306,Occupied,Matched,2026-02-14 10:27:12
AUD300201,T100201,,None,,,Permit Portal,True,2025-11-30 09:58:53,SEN989,Vacant,Matched,2025-11-30 10:02:42
AUD300202,T100202,,None,,,Sensor Network,True,2025-12-08 15:57:07,SEN197,Occupied,Matched,2025-12-08 15:57:39
AUD300203,T100203,,None,,,Enforcement App,True,2026-02-04 20:40:09,SEN511,Occupied,Matched,2026-02-04 20:42:37
AUD300204,T100204,,None,,,Enforcement App,False,2025-12-09 20:51:58,SEN802,Occupied,Matched,2025-12-09 20:33:11
AUD300205,T100205,,None,,,Permit Portal,True,2025-12-26 16:42:33,SEN190,Occupied,Matched,2025-12-26 16:44:20
AUD300206,T100206,,None,,,Sensor Network,True,2025-12-04 06:20:16,SEN252,Occupied,Pending,2025-12-04 06:23:57
AUD300207,T100207,,None,,,Permit Portal,True,2026-02-02 13:18:20,SEN465,Occupied,Matched,2026-02-02 13:23:09
AUD300208,T100208,,None,,,Sensor Network,True,2026-01-30 11:56:22,SEN153,Occupied,Duplicate,2026-01-30 11:56:44
AUD300209,T100209,,None,,,Sensor Network,True,2026-01-19 02:29:27,SEN359,Occupied,Matched,2026-01-19 02:31:23
AUD300210,T100210,,None,,,Permit Portal,True,2025-12-03 21:54:39,SEN236,Occupied,Matched,2025-12-03 21:58:11
AUD300211,T100211,,None,,,Enforcement App,True,2026-02-02 09:26:32,SEN964,Occupied,Matched,2026-02-02 09:27:14
AUD300212,T100212,,None,,,Enforcement App,True,2025-11-11 04:40:54,SEN617,Occupied,Duplicate,2025-11-11 04:44:21
